Date,High,Low,Open,Close,Volume,Adj Close
2012-01-03,124.52999877929688,123.61000061035156,123.94000244140625,123.62999725341797,7175100.0,100.15278625488281
2012-01-04,124.05000305175781,123.11000061035156,123.4000015258789,123.97000122070312,7625200.0,100.4282455444336
2012-01-05,124.11000061035156,122.58999633789062,123.45999908447266,123.94999694824219,8678900.0,100.41203308105469
2012-01-06,124.08000183105469,123.13999938964844,124.08000183105469,123.52999877929688,7488600.0,100.07178497314453
2012-01-09,123.91000366210938,123.13999938964844,123.69000244140625,123.66000366210938,5881800.0,100.17711639404297
2012-01-10,125.0,124.2699966430664,124.87999725341797,124.37999725341797,5274400.0,100.76040649414062
2012-01-11,124.44999694824219,123.80000305175781,124.04000091552734,124.29000091552734,4890300.0,100.68745422363281
2012-01-12,124.66999816894531,123.66000366210938,124.5,124.52999877929688,5591300.0,100.88190460205078
2012-01-13,124.16000366210938,122.91999816894531,123.70999908447266,124.16000366210938,6392100.0,100.5821304321289
2012-01-17,125.56999969482422,124.45999908447266,125.04000091552734,124.62000274658203,5348800.0,100.95479583740234
2012-01-18,125.72000122070312,124.41000366210938,124.52999877929688,125.62000274658203,6473000.0,101.7649154663086
2012-01-19,126.18000030517578,125.5199966430664,125.98999786376953,126.16999816894531,8095300.0,102.21045684814453
2012-01-20,126.95999908447266,125.94999694824219,126.04000091552734,126.95999908447266,6995400.0,102.98672485351562
2012-01-23,127.36000061035156,126.37999725341797,126.88999938964844,126.80999755859375,5166800.0,102.86510467529297
2012-01-24,126.55000305175781,125.87000274658203,126.0999984741211,126.43000030517578,4798200.0,102.55680847167969
2012-01-25,127.5199966430664,125.47000122070312,126.05999755859375,127.25,9642500.0,103.22199249267578
2012-01-26,128.1300048828125,126.6500015258789,127.8499984741211,127.05999755859375,5902300.0,103.0678939819336
2012-01-27,126.76000213623047,126.01000213623047,126.47000122070312,126.44999694824219,6136400.0,102.57305145263672
2012-01-30,126.30999755859375,125.0,125.38999938964844,126.2300033569336,5910600.0,102.39461517333984
2012-01-31,126.91999816894531,125.37999725341797,126.87999725341797,126.06999969482422,5951700.0,102.26482391357422
2012-02-01,127.58999633789062,126.7699966430664,127.06999969482422,126.91000366210938,9891000.0,102.94618225097656
2012-02-02,127.16000366210938,126.4800033569336,127.0199966430664,126.83999633789062,4531500.0,102.8893814086914
2012-02-03,128.49000549316406,127.83000183105469,128.0399932861328,128.3699951171875,8654000.0,104.13050079345703
2012-02-06,128.19000244140625,127.68000030517578,127.83000183105469,128.1199951171875,3852400.0,103.9277114868164
2012-02-07,128.75999450683594,127.55000305175781,127.94999694824219,128.50999450683594,5739300.0,104.24405670166016
